"year","state","state_po","candidate","candidatevotes","totalvotes","party_simplified","voteshare","winner"
2004,"OHIO","OH","BUSH, GEORGE W.",2859764,5627903,"REPUBLICAN",0.508140243355296,1
2004,"OHIO","OH","KERRY, JOHN",2741165,5627903,"DEMOCRAT",0.487066852431536,0
2004,"OKLAHOMA","OK","BUSH, GEORGE W.",959792,1463758,"REPUBLICAN",0.655704016647561,1
2004,"OKLAHOMA","OK","KERRY, JOHN",503966,1463758,"DEMOCRAT",0.344295983352439,0
2004,"OREGON","OR","KERRY, JOHN",943163,1836782,"DEMOCRAT",0.513486630422119,1
2004,"OREGON","OR","BUSH, GEORGE W.",866831,1836782,"REPUBLICAN",0.471929167424332,0
2004,"PENNSYLVANIA","PA","KERRY, JOHN",2938095,5769590,"DEMOCRAT",0.509238091441506,1
2004,"PENNSYLVANIA","PA","BUSH, GEORGE W.",2793847,5769590,"REPUBLICAN",0.484236661530542,0
2004,"RHODE ISLAND","RI","KERRY, JOHN",259760,437134,"DEMOCRAT",0.59423426226283,1
2004,"RHODE ISLAND","RI","BUSH, GEORGE W.",169046,437134,"REPUBLICAN",0.386714371336936,0
2004,"SOUTH CAROLINA","SC","BUSH, GEORGE W.",937974,1617700,"REPUBLICAN",0.579819496816468,1
2004,"SOUTH CAROLINA","SC","KERRY, JOHN",661669,1617700,"DEMOCRAT",0.409018359399147,0
2004,"SOUTH DAKOTA","SD","BUSH, GEORGE W.",232584,388215,"REPUBLICAN",0.599111317182489,1
2004,"SOUTH DAKOTA","SD","KERRY, JOHN",149244,388215,"DEMOCRAT",0.384436459178548,0
2004,"TENNESSEE","TN","BUSH, GEORGE W.",1384375,2437319,"REPUBLICAN",0.567990894913633,1
2004,"TENNESSEE","TN","KERRY, JOHN",1036477,2437319,"DEMOCRAT",0.425252911087962,0
2004,"TEXAS","TX","BUSH, GEORGE W.",4526917,7410749,"REPUBLICAN",0.610858227690615,1
2004,"TEXAS","TX","KERRY, JOHN",2832704,7410749,"DEMOCRAT",0.382242604627413,0
2004,"UTAH","UT","BUSH, GEORGE W.",663742,927844,"REPUBLICAN",0.715359478533029,1
2004,"UTAH","UT","KERRY, JOHN",241199,927844,"DEMOCRAT",0.259956415087019,0
2004,"VERMONT","VT","KERRY, JOHN",184067,312309,"DEMOCRAT",0.589374625771271,1
2004,"VERMONT","VT","BUSH, GEORGE W.",121180,312309,"REPUBLICAN",0.388013153639504,0
2004,"VIRGINIA","VA","BUSH, GEORGE W.",1716959,3195415,"REPUBLICAN",0.537319565690216,1
2004,"VIRGINIA","VA","KERRY, JOHN",1454742,3195415,"DEMOCRAT",0.455259176038167,0
2004,"WASHINGTON","WA","KERRY, JOHN",1510201,2859084,"DEMOCRAT",0.528211483118369,1
2004,"WASHINGTON","WA","BUSH, GEORGE W.",1304894,2859084,"REPUBLICAN",0.456402819924144,0
2004,"WEST VIRGINIA","WV","BUSH, GEORGE W.",423778,755792,"REPUBLICAN",0.560707178694667,1
2004,"WEST VIRGINIA","WV","KERRY, JOHN",326541,755792,"DEMOCRAT",0.432051410970214,0
2004,"WISCONSIN","WI","KERRY, JOHN",1489504,2997007,"DEMOCRAT",0.496997170844112,1
2004,"WISCONSIN","WI","BUSH, GEORGE W.",1478120,2997007,"REPUBLICAN",0.49319871458425,0
2004,"WYOMING","WY","BUSH, GEORGE W.",167629,243861,"REPUBLICAN",0.687395688527481,1
2004,"WYOMING","WY","KERRY, JOHN",70776,243861,"DEMOCRAT",0.290230910231648,0
2008,"ALABAMA","AL","MCCAIN, JOHN",1266546,2099819,"REPUBLICAN",0.603169130291706,1
2008,"ALABAMA","AL","OBAMA, BARACK H.",813479,2099819,"DEMOCRAT",0.387404342945749,0
2008,"ALASKA","AK","MCCAIN, JOHN",193841,326197,"REPUBLICAN",0.594245195388063,1
2008,"ALASKA","AK","OBAMA, BARACK H.",123594,326197,"DEMOCRAT",0.378893735993893,0
2008,"ARIZONA","AZ","MCCAIN, JOHN",1230111,2293475,"REPUBLICAN",0.536352478226272,1
2008,"ARIZONA","AZ","OBAMA, BARACK H.",1034707,2293475,"DEMOCRAT",0.451152508747643,0
2008,"ARKANSAS","AR","MCCAIN, JOHN",638017,1086617,"REPUBLICAN",0.587159044999296,1
2008,"ARKANSAS","AR","OBAMA, BARACK H.",422310,1086617,"DEMOCRAT",0.388646597651242,0
2008,"CALIFORNIA","CA","OBAMA, BARACK H.",8274473,13561900,"DEMOCRAT",0.610126383471343,1
2008,"CALIFORNIA","CA","MCCAIN, JOHN",5011781,13561900,"REPUBLICAN",0.369548588324645,0
2008,"COLORADO","CO","OBAMA, BARACK H.",1288576,2401361,"DEMOCRAT",0.536602368406916,1
2008,"COLORADO","CO","MCCAIN, JOHN",1073589,2401361,"REPUBLICAN",0.447075221093372,0
2008,"CONNECTICUT","CT","OBAMA, BARACK H.",997772,1646792,"DEMOCRAT",0.605888296761218,1
2008,"CONNECTICUT","CT","MCCAIN, JOHN",629428,1646792,"REPUBLICAN",0.382214633056269,0
2008,"DELAWARE","DE","OBAMA, BARACK H.",255459,412412,"DEMOCRAT",0.619426689815039,1
2008,"DELAWARE","DE","MCCAIN, JOHN",152374,412412,"REPUBLICAN",0.369470335489753,0
2008,"DISTRICT OF COLUMBIA","DC","OBAMA, BARACK H.",245800,265853,"DEMOCRAT",0.924571097561434,1
2008,"DISTRICT OF COLUMBIA","DC","MCCAIN, JOHN",17367,265853,"REPUBLICAN",0.0653255746596803,0
2008,"FLORIDA","FL","OBAMA, BARACK H.",4282074,8390744,"DEMOCRAT",0.510333052706649,1
2008,"FLORIDA","FL","MCCAIN, JOHN",4045624,8390744,"REPUBLICAN",0.482153191659762,0
2008,"GEORGIA","GA","MCCAIN, JOHN",2048759,3924486,"REPUBLICAN",0.522045179929295,1
2008,"GEORGIA","GA","OBAMA, BARACK H.",1844123,3924486,"DEMOCRAT",0.469901790960651,0
2008,"HAWAII","HI","OBAMA, BARACK H.",325871,456064,"DEMOCRAT",0.714529101178782,1
2008,"HAWAII","HI","MCCAIN, JOHN",120566,456064,"REPUBLICAN",0.264362019365703,0
2008,"IDAHO","ID","MCCAIN, JOHN",403012,655122,"REPUBLICAN",0.615170914730386,1
2008,"IDAHO","ID","OBAMA, BARACK H.",236440,655122,"DEMOCRAT",0.360909876328379,0
2008,"ILLINOIS","IL","OBAMA, BARACK H.",3419348,5522371,"DEMOCRAT",0.619181145200132,1
2008,"ILLINOIS","IL","MCCAIN, JOHN",2031179,5522371,"REPUBLICAN",0.367809225421472,0
2008,"INDIANA","IN","OBAMA, BARACK H.",1374039,2751054,"DEMOCRAT",0.499459116396843,1
2008,"INDIANA","IN","MCCAIN, JOHN",1345648,2751054,"REPUBLICAN",0.489139071788485,0
2008,"IOWA","IA","OBAMA, BARACK H.",828940,1537123,"DEMOCRAT",0.539280200738653,1
2008,"IOWA","IA","MCCAIN, JOHN",682379,1537123,"REPUBLICAN",0.443932593553021,0
2008,"KANSAS","KS","MCCAIN, JOHN",699655,1235872,"REPUBLICAN",0.566122543434919,1
2008,"KANSAS","KS","OBAMA, BARACK H.",514765,1235872,"DEMOCRAT",0.416519671940136,0
2008,"KENTUCKY","KY","MCCAIN, JOHN",1048462,1826620,"REPUBLICAN",0.573990211428759,1
2008,"KENTUCKY","KY","OBAMA, BARACK H.",751985,1826620,"DEMOCRAT",0.411681137839288,0
2008,"LOUISIANA","LA","MCCAIN, JOHN",1148275,1960761,"REPUBLICAN",0.585627213107564,1
2008,"LOUISIANA","LA","OBAMA, BARACK H.",782989,1960761,"DEMOCRAT",0.399329138023451,0
2008,"MAINE","ME","OBAMA, BARACK H.",421923,731163,"DEMOCRAT",0.57705737297976,1
2008,"MAINE","ME","MCCAIN, JOHN",295273,731163,"REPUBLICAN",0.403840183379082,0
2008,"MARYLAND","MD","OBAMA, BARACK H.",1629467,2631596,"DEMOCRAT",0.619193447626459,1
2008,"MARYLAND","MD","MCCAIN, JOHN",959862,2631596,"REPUBLICAN",0.364745196451127,0
2008,"MASSACHUSETTS","MA","OBAMA, BARACK H.",1904097,3102995,"DEMOCRAT",0.613631991028023,1
2008,"MASSACHUSETTS","MA","MCCAIN, JOHN",1108854,3102995,"REPUBLICAN",0.357349592893318,0
2008,"MICHIGAN","MI","OBAMA, BARACK H.",2872579,5001596,"DEMOCRAT",0.574332473074595,1
2008,"MICHIGAN","MI","MCCAIN, JOHN",2048639,5001596,"REPUBLICAN",0.409597056619527,0
2008,"MINNESOTA","MN","OBAMA, BARACK H.",1573354,2910369,"DEMOCRAT",0.540602926982798,1
2008,"MINNESOTA","MN","MCCAIN, JOHN",1275409,2910369,"REPUBLICAN",0.438229310441391,0
2008,"MISSISSIPPI","MS","MCCAIN, JOHN",724597,1289865,"REPUBLICAN",0.561761889810174,1
2008,"MISSISSIPPI","MS","OBAMA, BARACK H.",554662,1289865,"DEMOCRAT",0.430015544262384,0
