"State","Year","Population"
"Wyoming",2010,563626
"Wyoming",2011,567491
"Wyoming",2012,576656
"Wyoming",2013,582620
"Wyoming",2014,583159
"Wyoming",2015,586389
"Wyoming",2016,585243
"Wyoming",2017,579994
"Wyoming",2018,579054
"Wyoming",2019,580116
"Wyoming",2020,576851
